G,U,X,Y
F,1.056,9.25,7.589
M,1.397,2.604,3.083
M,18.225,16.461,11.428
F,4.587,11.913,9.307
M,2.098,3.126,4.445
M,1.032,4.362,4.201
M,1.871,3.003,3.231
F,1.423,2.499,2.942
M,5.176,5.349,7.197
M,3.125,4.187,4.012
F,1.137,3.288,3.626
M,11.331,10.611,8.419
F,1.253,9.767,10.417
F,1.527,3.95,4.331
M,1.045,2.195,3.638
M,2.71,3.483,6.509
M,1.25,2.299,4.882
F,8.962,8.547,6.559
M,408.09,327.89,198.228
F,11.342,10.324,7.82
M,4.295,5.313,5.44
M,5.912,6.448,5.784
M,1.007,2.012,2.72
M,4.577,5.037,4.652
M,1.993,2.84,4.115
M,1.851,2.954,4.025
M,3.452,5.619,5.106
M,8.014,7.766,6.113
F,9.649,9.571,7.416
M,3.017,3.669,4.575
F,1.157,7.143,5.773
M,2.459,5.45,4.753
F,2.522,7.896,7.726
F,1.509,2.586,3.378
M,2.587,4.437,4.096
F,6.999,7.768,6.722
M,2.274,3.264,3.542
M,5.649,5.794,4.994
F,1.379,12.166,8.73
F,1.193,2.504,3.005
M,1.035,3.202,4.162
F,3.249,6.068,5.314
F,1.091,7.077,5.77
F,2.12,4.145,3.901
F,1.467,2.626,3.597
F,1.443,4.291,5.042
F,5.767,7.583,5.97
F,1.45,44.809,28.42
F,3.634,5.722,9.053
F,2.303,3.337,3.824
M,1.208,2.474,3.024
F,1.487,3.088,3.662
M,14.096,12.627,9.423
F,44.695,37.315,23.917
M,1.451,5.264,7.609
F,1.001,3.165,4.796
M,2.581,3.275,3.57
F,3.666,7.274,6.204
M,1.875,3.169,3.513
M,1.779,3.074,3.603
M,7.906,7.567,6.405
F,1.568,31.107,20.358
M,2.278,3.205,3.974
F,2.642,21.204,15.246
F,1.09,30.774,20.572
M,3.996,4.484,4.543
M,1.666,2.915,4.46
M,1.156,2.516,3.584
F,1.026,4.323,4.084
F,1.722,6.061,5.12
F,1.103,2.311,3.088
F,2.65,3.453,6.908
F,1.078,3.98,3.98
M,4.509,4.836,4.49
F,1.462,2.603,3.292
M,2.257,4.721,4.252
M,1.252,2.565,3.449
M,2.27,3.086,4.334
M,1.764,2.687,3.708
F,1.301,2.345,3.142
F,1.819,5.554,5.603
F,1.793,2.725,3.294
M,1.04,2.125,2.741
F,1.128,2.389,3.051
F,3.627,5.216,5.238
F,1.835,2.752,4.327
M,3.965,7.296,8.91
F,3.336,4.75,5.664
M,2.664,4.284,4.47
F,3.075,5.643,5.356
M,1.293,2.298,2.852
M,11.445,10.402,7.985
F,1.492,2.44,4.145
M,29.93,26.203,17.298
F,1.157,5.123,4.926
M,1.91,2.988,3.954
M,5.163,7.943,6.482
F,1.036,2.451,8.243
F,1.718,3.339,4.067
M,4.518,4.82,4.344
F,2.016,2.848,3.383
M,1.494,2.41,2.91
F,1.402,3.017,3.659
M,3.929,4.787,6.371
M,19.937,17.443,13.467
M,4.074,5.498,5.05
M,1.302,2.301,2.88
M,1.233,2.411,3.093
M,1.183,2.763,3.522
M,8.322,8.74,7.729
M,1.309,2.352,3.166
F,3.435,6.614,7.204
F,2.272,3.868,4.197
F,1.497,16.654,11.419
F,6.785,9.21,8.291
M,1.11,2.393,2.91
F,1.077,10.243,7.709
M,1.159,2.191,4.656
F,1.089,4.288,6.438
M,2.45,3.561,3.931
M,1.284,2.244,3.076
F,3.212,3.783,4.202
F,1.147,7.19,5.864
F,1.586,5.147,4.88
M,1.726,3.059,3.691
F,1.718,3.071,6.932
M,1.073,2.077,3.07
M,1.892,2.811,4.821
F,1.337,5.004,4.941
M,2.582,3.311,3.684
F,1.149,4.562,4.734
F,86.855,71.45,44.445
M,3.024,4.921,4.384
F,7.869,38.112,26.873
F,16.536,21.664,15.479
F,6.512,12.846,9.702
F,3.458,4.977,5.976
M,13.737,12.599,9.151
M,2.844,3.737,4.958
M,2.843,4.819,5.147
M,2.202,2.963,3.772
M,1.278,2.3,4.019
M,2.219,6.791,5.966
M,1.655,2.561,3.038
F,2.498,4.528,4.969
F,2.07,4.229,9.253
F,1.323,2.326,6.433
F,1.551,3.676,3.948
F,1.291,7.401,5.857
M,3.187,4.783,4.327
M,5.732,6.021,5.292
F,1.876,5.1,5.126
M,5.932,7.416,6.046
M,31.36,26.728,17.486
M,1.12,3.008,3.246
M,1.121,2.452,4.041
F,2.349,4.823,7.066
F,4.617,5.706,7.231
F,1.521,6.637,5.643
F,1.917,4.478,5.115
F,1.758,2.793,4.452
M,3.902,4.463,4.592
F,1.279,37.577,24.832
F,1.04,11.102,8.301
M,5.907,5.947,5.304
M,2.137,3.5,4.871
F,6.822,7.593,6.592
F,1.477,6.999,6.845
M,7.304,7.13,7.019
M,1.067,5.161,5.411
F,1.143,6.643,5.397
F,7.298,7.087,6.63
M,19.006,16.457,11.698
F,6.207,46.359,29.815
F,2.189,17.124,12.118
F,2.878,4.32,4.152
M,2.276,4.643,4.284
F,4.566,5.017,4.936
F,2.962,18.642,12.819
M,1.589,2.941,3.208
F,3.025,18.485,13.693
F,1.036,4.125,4.154
F,5.044,16.603,11.854
F,1.854,4.077,4.685
M,1.143,2.146,2.756
F,3.806,12.352,10.012
F,243.39,196.411,121.253
F,1.479,2.773,3.183
F,1.722,2.62,3.134
M,3.578,5.344,4.694
F,1.338,2.843,3.267
M,6.097,6.627,6.108
F,1.019,5.467,5.116
M,1.009,2.25,3.04
F,2.041,16.608,11.455
M,2.131,4.156,4.508
F,4.22,19.092,13.194
M,2.079,4.185,4.042
F,2.086,4.044,4.063
M,2.367,3.106,3.339
F,2.437,5.05,4.91
M,2.775,3.812,4.248
M,3.701,4.169,3.946
F,1.124,81.716,55.632
F,1.145,5.704,5.709
F,1.441,4.783,4.421
M,1.224,2.633,3.155
F,1.309,25.69,19.191
F,7.011,6.995,8.36
M,25.062,22.849,16.685
M,1.257,2.433,3.158
M,2.658,3.767,3.822
M,4.512,5.265,5.1
F,2.569,3.691,3.704
M,1.684,4.245,4.26
F,1.491,2.79,5.088
M,1.366,2.479,3.018
M,1.476,2.887,3.454
M,1.0,2.571,4.172
M,1.181,3.709,4.458
M,9.045,8.436,9.666
F,1.792,4.4,4.827
F,2.533,8.325,7.11
F,2.041,51.439,32.827
M,4.359,5.788,5.246
F,6.75,6.811,7.028
F,3.724,4.639,6.077
M,1.018,2.253,3.065
M,1.905,2.784,3.419
M,2.19,3.031,3.408
F,8.559,10.987,8.158
F,1.162,2.349,3.141
M,4.721,5.058,4.637
F,1.636,11.831,8.816
M,2.911,5.114,4.809
M,12.565,11.398,9.042
M,4.278,5.057,4.673
M,8.506,8.218,6.865
F,1.629,2.639,4.459
M,6.133,7.618,5.995
M,2.307,3.82,3.775
M,1.623,2.936,3.233
M,1.1,2.742,3.514
F,1.094,4.577,5.469
M,1.478,2.834,4.14
F,3.018,4.915,4.376
M,2.644,3.458,3.891
M,10.391,11.139,8.155
M,42.13,35.389,22.663
M,1.035,2.46,3.144
M,1.397,3.548,3.647
M,1.168,2.207,2.997
F,1.445,4.579,4.642
M,7.139,6.966,5.971
F,1.183,15.833,14.315
F,1.132,3.474,4.069
M,1.413,3.159,3.951
M,2.189,3.094,3.457
F,1.907,3.23,3.643
M,23.759,21.117,17.197
F,4.161,6.166,5.471
F,1.276,2.881,3.851
F,2.125,18.057,21.207
M,1.592,3.111,3.32
F,1.029,2.304,3.026
M,4.954,5.921,5.89
M,1.2,2.695,3.268
F,1.268,2.343,3.426
F,1.724,2.755,3.488
M,1.412,2.468,3.118
F,7.317,354.205,214.266
F,1.946,20.753,13.992
M,1.92,3.571,4.773
M,7.063,7.054,5.653
F,2.875,3.573,3.81
M,1.31,2.349,3.683
F,2.215,3.818,3.856
M,1.152,2.384,4.06
F,2.046,8.35,6.603
M,1.813,3.693,3.64
M,1.019,2.751,3.826
F,2.81,4.094,4.183
M,2.345,5.256,5.125
M,1.453,2.639,3.368
M,3.493,4.008,4.082
F,1.008,2.204,3.05
M,1.407,2.429,2.904
M,2.023,2.997,3.299
M,1.821,3.175,3.381
M,8.092,7.687,7.782
F,2.013,2.924,3.816
F,1.092,2.385,3.001
F,1.309,53.693,33.995
F,1.091,2.322,3.267
F,1.366,3.861,3.773
F,1.238,6.672,5.904
F,3.024,35.176,23.839
F,1.189,5.601,5.329
M,4.12,4.602,4.361
F,4.794,5.634,6.163
F,6.845,7.981,9.128
M,1.844,2.687,3.3
M,2.738,5.038,5.158
M,6.45,6.557,5.351
M,1.265,2.27,2.995
F,1.01,2.269,2.88
M,1.693,2.655,5.222
M,1.031,2.057,2.68
F,3.719,4.924,7.62
F,10.283,9.47,7.277
M,1.14,2.237,4.804
M,6.829,6.72,5.448
F,1.046,2.712,3.595
M,2.756,4.953,5.703
F,1.184,3.023,8.551
F,1.212,5.466,7.017
F,5.356,15.323,11.881
M,5.434,6.222,5.647
M,1.155,4.022,4.412
F,2.394,5.26,5.126
F,1.865,3.463,3.636
M,7.961,7.858,7.19
F,14.469,13.119,10.294
F,3.389,4.134,4.125
F,2.741,38.651,27.013
M,1.087,2.17,4.185
M,2.355,3.847,3.761
F,1.153,2.235,6.292
M,1.077,2.098,2.686
M,1.306,2.757,3.089
M,37.002,32.044,21.051
M,1.356,2.674,4.261
F,8.631,8.153,21.375
F,2.727,9.152,8.162
F,26.106,22.689,16.226
F,2.029,3.172,4.725
M,1.025,3.293,3.562
M,146.857,118.965,73.147
F,1.171,2.143,4.654
F,3.669,8.355,7.154
M,5.583,5.885,5.488
F,6.576,8.23,9.408
M,75.808,61.938,39.228
F,43.092,60.305,40.781
F,1.319,2.378,2.884
M,1.074,3.341,5.65
M,1.551,2.756,3.639
F,3.974,5.451,5.1
M,1.091,2.661,3.028
M,21.795,19.125,12.96
M,30.686,27.55,19.465
F,13.081,13.45,10.178
M,8.732,8.232,6.784
F,3.029,11.247,8.909
M,4.108,5.518,6.011
F,10.197,9.489,8.136
F,1.355,3.26,3.556
M,32.412,27.309,17.866
F,2.264,6.154,5.427
F,1.517,3.15,14.183
M,7.541,7.24,6.152
F,40.267,33.621,22.139
F,1.403,17.879,14.474
M,2.193,3.513,3.599
F,2.172,18.476,14.011
F,1.952,4.592,4.669
F,2.526,8.02,6.39
F,3.948,4.543,5.97
M,8.833,8.563,7.165
M,1.142,2.414,3.024
F,4.376,57.783,36.166
M,4.874,5.672,5.027
M,1.636,2.749,3.089
M,1.703,3.492,3.52
F,1.284,5.097,5.029
F,48.576,41.39,26.302
M,1.972,3.094,3.625
F,29.391,49.815,31.817
F,1.013,4.032,5.312
M,5.511,9.378,7.04
M,3.863,5.091,4.867
M,3.626,4.478,4.273
M,1.1,2.511,3.403
M,2.363,4.574,4.811
F,1.798,7.898,8.015
F,9.397,19.212,14.859
M,1.789,2.815,4.067
M,1.326,2.44,4.605
M,3.057,3.848,3.989
F,17.774,15.43,15.081
F,11.585,10.606,9.983
M,1.677,4.222,4.881
M,2.242,3.369,3.741
M,36.758,30.805,21.178
M,1.868,8.323,7.417
M,1.595,2.585,3.06
F,2.891,8.267,14.019
F,1.293,3.053,4.686
M,2.154,5.256,5.944
M,2.05,3.791,4.665
F,4.163,6.167,5.436
M,1.394,2.368,4.538
F,2.867,5.12,4.864
M,3.035,3.792,4.314
F,1.041,3.832,22.26
F,1.11,2.12,2.881
F,2.644,4.869,4.639
M,1.792,2.921,4.755
F,4.707,13.267,10.103
F,1.041,2.807,3.733
M,1.443,2.565,3.311
M,1.068,2.658,4.841
F,1.357,2.809,3.905
F,1.612,2.57,3.714
M,1.259,2.362,3.289
F,1.55,25.232,17.676
F,1.827,3.087,4.378
M,9.794,9.106,9.699
F,2.244,3.141,3.42
F,3.701,6.353,5.834
F,1.541,2.664,3.369
F,1.234,11.549,8.514
F,4.337,4.787,5.696
F,1.321,2.439,2.987
M,3.259,3.961,3.902
M,2.211,3.145,3.295
M,1.181,2.286,3.027
M,2.949,4.181,6.011
F,4.637,5.776,4.887
F,1.566,3.884,4.393
F,6.273,6.761,5.708
F,1.356,7.099,7.674
M,2.958,4.329,4.413
M,2.799,4.902,4.84
F,2.274,3.931,4.252
M,1.174,2.244,2.996
F,3.881,5.017,4.988
M,15.266,13.682,9.645
F,13.036,14.811,10.416
F,1.095,2.403,3.507
M,1.901,3.082,3.825
F,1.645,3.203,4.533
M,1.706,3.368,3.668
M,3.06,3.899,3.92
M,2.989,3.674,3.833
F,10.165,9.38,7.668
F,1.064,4.542,4.353
F,2.276,8.465,9.327
F,1.028,3.436,5.4
M,1.487,3.539,3.584
F,1.497,2.615,5.878
M,10.486,9.649,7.798
F,1.726,4.083,4.158
F,1.864,3.163,3.532
M,1.321,2.279,8.778
F,1.414,6.024,5.66
M,2.567,3.374,4.27
F,1.211,4.127,8.072
F,3.366,13.225,10.377
M,26.63,22.586,15.328
M,6.25,7.354,6.051
F,2.451,206.358,125.43
M,16.433,14.49,10.822
F,22.046,24.908,16.836
M,3.516,4.389,4.458
F,4.618,6.224,6.18
M,1.619,2.834,3.261
F,5.155,6.506,6.014
M,54.953,49.174,32.079
F,1.008,8.786,6.707
M,3.764,8.916,6.914
F,2.002,2.871,3.303
F,1.331,2.953,3.859
M,1.764,3.183,3.394
M,3.6,5.228,4.567
M,42.555,35.416,23.197
M,1.028,2.029,2.624
M,1.235,5.146,5.517
F,1.776,10.521,8.676
F,1.234,112.335,69.204
F,1.089,17.358,13.39
M,3.313,4.009,5.738
M,1.166,2.288,2.792
M,1.043,2.338,3.092
M,1.357,2.478,3.516
F,1.049,26.512,18.327
M,3.132,4.36,14.162
F,6.823,7.024,5.903
F,2.056,3.395,3.74
M,6.635,6.775,5.72
F,1.815,3.555,3.543
F,1.421,2.381,7.048
F,7.729,9.148,13.369
M,23.217,20.968,13.99
F,15.082,14.795,10.431
F,4.736,18.667,12.736
M,24.361,21.326,14.236
F,1.083,4.018,3.945
M,1.765,3.019,3.927
M,1.252,2.557,5.74
M,40.33,33.55,23.468
F,1.555,2.806,3.573
F,1.379,4.331,4.368
F,2.099,3.179,4.226
F,1.972,17.209,12.076
F,2.642,5.476,4.706
F,1.115,3.127,5.179
M,1.142,2.873,6.937
M,2.086,2.882,3.573
F,2.504,8.664,6.815
F,1.806,10.946,7.969
M,1.007,2.654,4.314
M,1.361,3.302,7.219
M,1.008,2.976,5.715
M,2.887,4.263,4.956
F,1.997,3.761,3.954
M,1.452,2.54,3.423
F,5.697,8.509,9.233
F,18.227,16.188,11.881
M,5.21,5.451,5.007
F,2.844,4.689,6.026
M,7.395,7.196,5.773
F,1.509,2.418,3.442
F,1.149,3.826,3.994
M,3.357,3.951,3.933
F,1.256,3.257,5.282
M,1.022,2.092,3.234
F,1.88,5.373,11.601
M,2.218,3.245,3.512
F,2.653,42.981,28.516
F,1.428,2.429,3.592
F,4.854,8.028,9.603
F,2.472,6.063,6.862
F,3.411,58.508,41.162
M,2.549,3.73,3.977
M,1.534,2.489,4.482
M,1.038,2.275,3.909
M,6.349,6.713,5.892
F,2.042,18.645,12.923
F,1.722,2.714,3.374
F,1.221,2.752,7.216
F,1.231,5.283,5.241
F,1.868,2.843,3.362
F,2.221,7.628,7.384
F,1.386,8.263,7.412
F,1.196,2.775,3.644
F,1.599,2.688,3.496
M,1.01,2.181,3.116
F,2.896,4.284,4.554
M,8.244,7.863,7.206
M,1.023,2.842,4.08
M,29.455,24.799,16.46
M,3.863,4.753,8.416
M,8.223,7.979,7.308
F,1.345,3.039,4.169
F,3.079,5.0,4.658
M,3.246,4.953,6.035
M,1.594,2.689,3.038
M,1.931,2.822,3.851
F,4.156,5.382,5.291
F,1.023,2.233,3.317
M,5.065,5.369,5.763
F,6.657,55.695,34.923
M,1.663,2.58,3.201
M,4.136,5.987,5.115
F,1.478,2.404,5.712
M,2.711,3.391,5.11
F,1.086,8.796,6.748
F,1.033,7.501,6.023
F,1.739,19.526,15.091
M,1.507,3.279,3.959
M,1.564,2.713,3.397
F,1.194,2.698,3.244
M,1.788,2.674,4.025
F,1.821,2.884,3.44
F,4.917,5.966,5.451
M,44.979,37.552,24.205
F,12.975,12.006,11.101
F,4.946,5.471,4.897
F,2.064,3.423,4.884
F,2.327,3.08,3.263
F,1.313,40.995,26.16
F,2.901,17.961,12.966
F,1.105,7.189,6.63
F,1.636,5.894,5.314
M,5.304,6.032,6.006
F,2.144,6.703,6.015
F,1.015,2.35,3.058
M,4.92,6.75,8.266
M,2.205,2.969,4.388
F,1.303,3.878,8.315
M,2.186,3.182,3.335
F,1.129,3.296,7.435
F,1.039,4.724,5.793
F,1300.56,1044.223,628.899
F,4.351,34.763,22.718
M,1.894,2.873,3.749
M,1.211,3.041,3.786
F,1.664,29.526,19.493
F,5.996,10.075,9.603
F,1.354,3.251,5.153
F,1.422,10.37,7.896
F,1.32,7.798,8.243
M,2.35,3.274,3.96
F,1.25,2.374,4.09
M,6.527,6.539,6.458
F,2.073,3.883,3.752
M,2.805,3.921,3.819
F,2.561,3.578,3.732
M,1.505,2.487,2.937
M,22.111,19.325,13.26
M,50.198,42.094,26.742
F,2.697,3.646,4.891
F,4.815,6.01,5.367
F,1.277,2.626,3.421
M,1.64,3.0,3.247
M,1.946,3.821,3.81
F,38.073,35.271,23.12
M,2.647,3.33,3.444
M,1.896,2.855,3.835
F,2.611,3.318,3.611
M,1.326,4.511,4.72
M,1.149,2.12,2.856
M,8.252,7.956,6.602
M,3.978,5.305,4.676
F,2.036,13.243,10.374
F,1.809,8.78,9.09
F,1.332,2.428,4.573
M,1.431,2.454,3.578
F,3.544,4.922,5.019
M,1.057,3.827,3.815
M,14.361,12.895,9.639
M,1.332,3.808,4.029
F,3.941,5.134,4.718
F,9.174,8.641,6.898
M,3.738,4.79,4.349
F,2.723,4.85,4.674
M,2.384,3.681,3.98
M,2.048,3.232,3.789
M,2.34,3.336,3.51
M,1.109,2.5,3.02
M,37.71,33.813,23.012
F,1.239,3.057,3.856
M,40.316,33.524,21.519
M,43.865,36.32,23.399
F,1.469,2.863,3.324
M,1.739,2.729,3.235
M,1.206,2.327,3.588
M,2.968,5.068,4.687
M,4.058,4.465,4.609
F,1.207,3.75,3.712
M,1.243,2.542,3.338
M,1.516,3.573,3.725
F,2.023,5.819,5.31
M,1.419,2.357,3.087
F,5.311,5.627,5.335
F,1.402,2.615,3.212
M,1.072,2.314,2.836
F,1.248,2.275,5.312
M,4.982,5.263,5.534
M,2.018,2.909,3.368
F,1.541,2.671,3.133
M,2.647,4.293,4.611
M,7.762,7.444,6.139
F,3.148,7.838,6.273
F,1.014,2.337,3.051
F,1.221,2.592,3.482
F,3.139,4.79,4.788
M,1.439,2.439,7.042
F,1.091,2.88,3.445
F,1.101,4.003,5.51
M,1.114,3.817,3.994
M,1.204,2.222,2.747
M,3.216,4.074,4.012
F,1.707,3.574,3.975
M,1.12,2.289,3.414
F,1.048,7.381,6.076
F,2.752,3.662,4.693
F,1.346,8.378,6.99
M,2.222,3.204,3.779
F,1.909,3.473,3.553
M,1.388,4.016,3.834
F,1.734,3.181,3.336
M,1.554,2.481,3.458
F,2.57,3.82,4.389
M,1.353,3.08,6.006
F,11.437,10.559,8.094
M,2.472,5.047,4.497
M,1.069,3.641,4.432
F,1.259,3.304,5.135
M,1.487,2.549,3.208
M,1.337,2.518,3.078
F,1.127,7.575,6.871
F,1.188,2.18,5.634
M,1.382,2.366,9.801
M,1.455,2.418,3.125
F,2.957,3.875,5.258
F,1.298,2.994,3.85
F,4.453,5.269,12.121
F,1.587,4.331,4.787
F,10.858,10.212,7.798
F,2.308,4.748,4.7
M,4.774,5.088,5.5
M,1.828,2.804,3.421
M,9.873,9.155,6.979
M,1.185,3.04,3.6
F,3.345,4.47,6.633
M,2.585,4.22,7.027
F,1.072,3.106,3.616
F,1.561,2.551,3.57
M,3.387,4.105,4.339
M,1.546,3.28,3.402
F,1.635,3.521,3.541
M,1.085,2.579,4.615
F,1.838,7.769,8.095
M,2.852,3.635,3.745
F,1.786,2.769,20.411
F,2.391,11.319,8.276
F,7.485,7.322,5.895
F,1.074,2.449,3.557
M,1.128,2.279,6.455
M,1.638,2.886,3.458
F,1.055,2.308,4.564
F,3.229,4.331,5.422
F,3.834,11.104,8.747
M,1.277,3.701,4.293
F,3.61,4.72,5.362
F,1.096,2.868,3.34
F,1.811,5.853,5.257
M,7.403,10.021,8.47
F,1.29,3.576,4.087
F,4.162,5.347,8.48
M,2.526,3.453,3.64
F,3.404,8.631,7.363
M,1.6,2.699,6.337
M,7.579,7.356,6.295
F,2.261,3.079,3.869
F,1.21,6.679,5.482
M,3.915,4.776,4.498
M,9.282,8.633,7.027
F,1.231,4.75,9.634
M,2.311,3.049,3.826
M,37.171,31.333,21.302
M,4.123,4.674,4.724
F,1.87,43.788,28.132
M,1.43,2.766,3.149
F,14.096,12.581,12.819
M,1.399,2.876,3.484
F,5.29,5.874,7.392
M,1.139,2.705,3.574
F,1.161,6.148,5.268
F,2.133,3.298,3.479
F,4.942,8.092,6.308
F,1.112,3.199,3.457
F,1.874,10.496,9.371
F,1.183,2.395,3.252
M,1.053,2.043,3.284
F,1.169,9.453,8.125
F,1.009,2.936,3.258
F,2.171,3.407,6.548
F,1.261,4.607,6.941
M,1.017,2.317,3.765
F,1.125,2.383,2.935
F,1.191,11.295,8.618
F,1.488,2.419,4.515
F,4.188,4.868,5.215
F,1.259,3.465,3.588
M,1.482,2.774,3.631
F,4.27,6.231,5.571
F,3.99,5.567,4.771
F,6.606,10.319,7.661
F,1.651,3.04,4.969
M,1.207,2.299,3.611
M,1.277,9.266,7.187
M,1.117,2.645,3.042
F,2.243,295.65,180.698
F,1.004,2.09,4.2
M,1.025,2.341,2.899
M,3.495,4.348,4.33
F,4.361,5.227,7.702
M,1.976,3.013,5.894
M,21.623,21.359,16.349
M,14.666,13.305,9.72
M,1.22,2.28,2.817
F,9.109,14.34,10.465
F,2.576,11.77,9.563
F,1.661,4.464,4.183
M,7.347,7.489,6.982
F,2.014,6.424,6.162
F,1.406,3.52,5.711
F,1.055,2.619,2.996
M,3.095,4.084,4.539
M,1.058,2.336,3.462
M,1.912,2.732,3.148
M,1.503,3.109,4.334
M,1.201,4.552,4.471
F,10.954,10.775,8.413
F,1.215,3.041,3.239
M,1.305,2.924,3.721
M,1.105,2.099,2.969
F,1.504,3.166,3.585
M,1.126,3.237,3.41
F,63.171,51.979,38.812
M,1.892,3.228,3.521
F,1.361,7.815,6.264
F,2.169,5.741,5.113
F,1.348,3.632,3.746
M,1.604,2.517,3.194
M,1.313,2.27,3.143
F,7.197,10.498,8.889
F,1.163,2.921,3.192
M,1.91,3.056,3.738
F,2.775,8.81,7.476
M,2.945,3.855,4.315
F,29.381,24.843,16.65
M,4.051,4.541,4.22
F,3.021,3.756,5.532
M,8.192,8.394,7.257
M,1.226,7.063,5.891
M,60.311,49.588,31.392
M,1.191,2.602,6.141
M,20.659,17.798,12.259
M,4.597,5.542,4.759
F,1.884,2.765,4.587
M,4.344,5.496,4.753
M,1.084,2.798,4.087
F,4.183,5.139,4.877
M,4.249,4.613,5.121
F,2.451,13.443,9.63
F,5.149,6.263,5.252
F,11.403,11.984,9.417
M,1.107,2.517,3.173
M,37.028,31.881,20.828
F,1.348,2.66,4.081
F,1.123,2.544,3.101
M,1.732,4.609,4.288
M,1.13,2.638,2.991
F,1.084,2.828,3.147
F,1.336,3.186,4.255
F,9.733,9.559,7.68
M,4.294,5.37,4.701
F,2.329,3.382,3.57
F,2.657,4.013,4.325
M,2.289,4.936,5.402
M,1.231,2.204,2.934
M,1.393,2.63,3.133
M,8.843,8.395,6.564
M,1.024,2.223,3.052
F,2.463,4.63,4.791
M,1.131,2.535,2.996
F,1.661,3.712,5.192
M,1.053,2.326,3.004
M,1.362,3.893,3.862
M,1.008,2.386,2.877
F,2.163,3.613,4.291
F,1.727,3.464,5.446
M,1.561,2.745,3.276
M,1.241,2.226,3.491
M,2.099,3.361,4.1
M,1.29,2.263,4.143
F,7.445,7.284,6.179
F,2.094,2.967,3.375
M,16.727,16.131,11.105
F,7.488,7.371,7.35
M,10.609,10.361,8.732
M,2.97,3.968,4.206
F,2.166,6.047,8.445
F,1.039,4.167,4.536
F,3.004,3.969,8.159
M,2.37,3.673,5.636
M,6.35,6.406,5.364
M,1.715,2.574,3.464
M,1.257,2.374,2.891
F,1.675,2.724,3.244
M,3.169,3.963,4.273
M,2.841,3.609,3.686
M,2.874,5.775,5.031
M,5.02,5.464,4.72
F,5.74,6.277,5.451
F,1.566,9.468,7.455
F,11.642,10.562,9.89
F,11.084,13.34,10.306
F,4.276,7.386,5.895
F,3.948,6.32,5.669
F,9.656,17.804,14.865
M,1.635,2.809,3.222
F,1.343,13.727,9.641
F,1.216,2.976,4.573
M,3.143,3.989,6.129
F,1.24,2.199,2.935
M,6.177,6.303,6.566
M,12.315,11.096,9.902
F,4.64,4.978,5.784
M,1.083,2.7,3.72
F,3.917,4.729,4.54
M,1.355,2.428,4.39
M,2.504,3.559,4.252
F,2.927,4.119,4.623
F,1.622,8.199,6.878
F,14.326,14.497,11.5
M,22.955,21.512,14.318
M,1.9,2.772,3.183
F,1.559,4.753,4.403
M,2.598,4.525,4.369
F,1.468,5.655,4.815
F,1.508,2.499,4.021
M,2.358,4.947,4.561
F,1.923,92.124,57.438
F,7.323,7.132,6.29
F,6.802,7.856,6.788
F,2.194,3.017,4.903
F,1.675,5.443,5.01
M,1.142,2.859,4.463
F,1.174,2.416,3.057
M,3.49,4.2,4.113
F,4.201,6.901,7.809
F,1.411,3.329,4.494
M,1.289,2.883,6.189
F,1.022,3.858,5.134
F,4.943,13.503,9.736
F,3.303,4.612,8.489
F,10.212,9.479,8.483
F,4.75,21.408,14.783
F,2.06,4.675,4.29
M,4.005,4.679,4.907
F,18.567,16.833,12.56
F,1.216,19.188,12.977
F,1.149,14.999,10.66
M,2.175,2.943,3.821
F,1.415,3.479,4.007
F,1.55,2.555,3.4
F,11.166,11.371,8.303
M,2.46,3.699,3.871
F,28.735,25.612,17.195
M,2.841,3.935,4.237
F,9.903,9.468,7.897
M,3.922,5.086,5.408
F,8.456,8.442,6.71
F,1.308,37.913,25.432
F,2.717,5.325,5.618
F,1.566,5.145,4.888
M,1.439,2.509,3.224
F,2.528,3.618,5.429
F,3.562,8.025,6.494
M,2.312,3.505,3.908
M,1.369,2.794,3.11
M,1.217,2.767,3.115
M,1.461,2.688,3.124
F,1.678,4.4,4.882
F,1.34,6.795,13.932
M,1.25,2.484,3.196
F,1.867,105.453,64.793
F,3.098,4.074,3.939
M,6.238,7.435,6.116
F,1.7,88.533,54.665
F,1.912,8.362,23.012
F,1.919,3.527,3.787
F,1.469,4.802,4.619
M,2.657,3.432,3.487
M,2.438,3.584,3.882
M,3.068,3.718,3.815
F,1.146,3.699,3.825
M,2.259,3.33,3.507
F,7.164,7.103,7.114
F,6.702,6.68,5.586
F,2.835,15.432,19.584
M,4.117,4.912,4.634
F,3.955,4.619,4.403
F,1.016,12.692,9.417
M,1.696,2.998,3.296
F,1.779,5.838,5.155
M,1.624,3.164,3.503
F,4.489,5.227,5.003
F,1.053,3.332,7.344
M,17.3,15.761,10.9
M,5.326,5.501,4.868
M,1.219,2.271,2.818
F,8.932,10.565,8.556
F,1.734,3.669,7.453
F,2.267,3.683,5.501
F,1.453,3.219,3.335
M,1.24,2.485,4.068
F,2.3,4.168,3.977
F,1.952,3.859,4.745
M,1.282,3.094,3.522
F,1.334,4.716,4.468
M,10.436,10.539,8.105
M,1.468,3.408,4.241
F,8.902,8.763,11.152
F,55.515,45.877,29.15
F,3.912,7.593,6.407
M,1.74,3.255,3.392
M,2.084,3.717,3.735
M,1.638,2.866,3.733
M,5.204,6.109,5.864
F,4.282,12.902,9.719
M,1.572,3.152,4.201
M,7.599,7.336,6.029
M,1.593,3.129,3.477
