G,U,X,Y
F,0.595,-0.891,1.125
F,-0.547,0.925,5.272
M,1.219,6.242,5.211
M,-1.099,3.939,5.732
M,-0.529,3.014,9.042
M,-0.505,4.575,5.56
M,-0.181,4.583,6.639
F,0.117,0.95,3.059
M,-0.972,3.056,7.35
M,-1.536,1.867,5.597
M,1.394,3.394,5.142
F,2.148,2.379,3.65
M,0.428,1.408,5.561
M,-0.186,4.526,8.451
F,-0.79,-1.041,-0.428
M,0.011,1.711,5.23
M,0.954,4.998,7.353
F,1.221,1.622,5.929
M,0.49,6.154,7.887
M,-0.931,2.381,7.166
F,-0.952,-1.915,1.595
F,-0.575,1.657,4.077
M,-0.217,3.431,4.419
M,2.193,4.731,7.451
M,1.507,5.581,6.495
F,-1.082,-1.224,2.002
M,-0.264,2.178,6.568
M,-1.263,2.648,3.836
F,-0.138,1.933,5.837
M,0.432,1.653,4.758
F,-0.611,0.463,1.333
F,-0.431,2.057,2.446
M,-0.222,5.116,9.777
F,-1.111,-1.828,2.711
F,0.152,2.852,3.809
F,-0.336,2.248,3.991
F,-0.119,1.296,5.135
M,-0.763,4.391,8.737
M,-0.212,3.195,4.687
M,1.925,2.144,4.414
M,-0.542,2.564,4.83
F,-0.41,1.404,2.259
M,-1.959,3.659,7.504
F,-0.117,-1.07,2.87
F,0.15,2.919,6.462
M,1.233,4.554,7.876
M,1.083,5.139,5.021
M,-0.492,4.025,5.491
M,-1.106,2.249,5.936
M,-1.384,2.006,5.73
M,0.194,6.057,6.959
M,-1.212,2.403,5.73
M,0.965,3.843,6.364
M,-2.025,2.348,7.718
M,0.215,4.435,7.827
F,-1.804,-0.317,0.226
F,2.155,4.334,5.898
F,0.253,0.973,3.926
F,0.332,2.287,5.513
M,0.878,5.373,8.484
F,0.041,2.511,5.407
F,-0.517,1.222,5.481
F,0.813,2.531,4.067
M,3.44,7.851,8.452
F,0.876,1.665,3.266
F,0.695,2.595,3.508
F,-1.675,-0.528,1.06
M,-0.712,3.301,7.186
M,0.512,5.105,6.766
M,-1.261,1.231,4.909
M,-0.019,4.645,4.814
M,1.189,4.237,5.112
M,0.32,3.234,7.583
M,-0.415,2.342,7.248
M,-0.447,3.974,6.883
M,-0.703,1.83,5.339
M,2.151,2.88,5.16
M,0.237,6.556,7.632
M,-0.837,2.819,4.641
F,-0.605,1.762,3.58
F,-0.667,-0.446,2.919
M,-1.39,2.166,7.091
M,-0.155,5.315,4.546
F,-0.919,-0.827,2.775
M,-0.752,3.211,6.572
F,-0.313,1.727,4.448
F,-0.257,1.768,2.637
F,-1.509,-0.045,4.247
M,-0.585,2.673,4.067
M,0.329,5.045,6.432
M,1.639,4.899,6.32
F,-0.02,1.554,5.301
M,0.528,5.02,7.822
M,1.186,3.402,5.034
F,0.772,2.969,4.919
M,0.642,2.084,5.179
M,-0.787,3.139,6.968
F,-0.19,1.272,2.914
F,-0.052,1.962,2.755
M,0.29,3.023,5.56
F,-0.032,0.382,3.524
M,0.305,3.213,5.787
M,1.23,6.712,6.499
M,0.223,4.441,5.315
F,-1.887,1.221,5.985
M,-0.008,3.776,5.878
F,0.238,0.115,1.945
M,0.882,2.074,4.571
F,-0.164,1.82,3.982
F,-0.825,-0.738,3.586
F,0.94,2.187,3.018
F,-0.258,1.111,4.657
F,2.016,2.197,2.902
F,-0.152,1.955,5.347
M,0.127,4.124,3.753
F,2.145,2.441,2.72
M,0.822,4.64,6.826
F,0.979,-0.021,2.845
M,-0.226,3.553,5.094
F,-0.486,4.13,3.187
M,0.045,4.112,8.214
M,1.371,4.277,2.301
M,-0.942,1.686,5.925
M,0.979,1.911,6.019
F,-0.48,0.158,4.737
F,0.834,2.754,4.316
F,-1.388,1.009,3.015
F,0.845,2.599,6.866
F,0.81,1.426,5.88
M,0.575,3.7,5.934
M,-0.979,1.022,3.434
M,-0.017,3.126,8.004
M,-0.503,4.762,6.402
F,0.619,2.361,6.501
M,-0.86,3.308,5.351
F,-0.392,2.214,5.08
F,-1.403,1.209,4.477
M,0.884,4.768,7.804
F,-1.654,1.633,2.617
M,0.07,4.315,7.796
M,-0.474,2.003,5.369
M,0.855,4.057,10.172
F,1.894,-0.297,1.576
F,-0.431,-0.577,0.953
M,-0.274,3.643,6.207
F,0.393,2.666,2.578
M,-1.588,4.211,4.36
F,0.934,2.985,4.007
F,0.346,0.8,4.883
F,-1.336,-0.28,3.875
M,-0.05,5.322,4.606
M,-2.964,1.35,4.151
M,-0.559,3.017,6.013
F,0.743,1.678,2.385
M,0.2,2.593,3.988
F,-2.076,1.197,1.18
F,-0.529,0.468,1.819
M,-0.247,3.67,5.354
F,-2.062,1.521,3.61
M,0.957,4.998,5.211
M,0.39,4.352,8.091
F,-0.661,2.417,6.509
F,-0.655,1.685,3.369
M,-1.019,1.823,4.511
F,-0.08,2.241,6.554
M,0.819,3.514,6.567
F,0.662,1.235,3.197
F,0.052,0.388,4.032
F,-0.922,0.22,4.217
F,-0.542,0.657,2.715
M,-0.283,2.342,6.459
M,-0.391,3.373,8.458
F,-0.203,1.958,4.833
F,0.689,1.698,2.861
F,-0.864,0.776,4.152
F,0.536,0.365,1.3
M,0.694,4.879,7.153
M,0.087,3.904,5.337
F,-0.249,0.302,3.143
F,1.299,3.322,6.889
M,-0.739,2.835,4.287
M,2.041,5.079,6.296
M,0.802,4.347,5.428
F,-1.407,3.2,2.945
F,1.182,3.922,4.532
F,-1.366,2.528,4.43
M,-0.556,0.483,4.819
M,0.179,6.171,7.92
M,0.102,3.891,7.313
F,-1.371,1.526,3.609
M,0.199,4.176,6.908
M,-0.363,3.091,6.425
M,1.852,3.932,7.613
M,0.674,3.391,5.831
F,0.422,0.32,7.601
F,-0.351,1.983,5.733
M,-0.132,5.044,6.306
M,1.217,3.619,7.358
M,0.378,6.197,9.423
F,-0.84,-0.378,2.979
M,-1.162,-0.075,4.059
F,0.341,2.212,3.143
M,-0.336,3.506,5.283
M,-0.746,2.152,4.842
M,-1.826,3.653,7.159
F,-0.86,-0.214,3.312
M,-1.488,2.739,1.834
M,1.137,5.084,6.758
F,1.18,2.886,3.616
F,0.048,1.348,5.091
F,-0.354,-0.529,1.03
F,1.702,2.957,4.423
F,0.133,1.023,2.426
M,-0.156,4.176,4.9
F,-2.073,-1.611,-0.463
M,0.347,5.966,7.766
M,-1.131,4.589,4.67
F,-0.539,-0.129,1.877
F,0.037,1.904,3.388
F,-0.103,2.628,2.972
F,0.513,2.958,3.723
M,0.127,3.182,9.62
M,0.098,3.918,8.901
M,0.496,0.765,4.964
F,1.3,1.178,5.26
F,0.65,2.125,3.494
F,0.397,2.81,2.688
M,1.877,5.431,6.003
M,-2.294,1.735,5.723
M,-1.049,3.179,5.48
M,-0.389,1.529,6.054
F,2.064,2.19,3.11
M,-0.153,4.392,6.631
F,-0.38,1.152,6.605
F,0.403,0.886,3.604
F,0.828,2.541,4.472
M,-0.617,0.563,3.692
F,1.091,3.921,6.353
M,0.123,3.557,4.095
M,0.004,3.519,8.884
F,-1.259,1.2,7.567
M,1.136,9.122,8.949
M,1.396,2.702,6.143
M,-0.08,5.072,9.778
F,0.313,2.162,3.298
M,1.022,5.662,6.881
M,0.525,2.926,7.771
M,-0.671,3.931,5.772
M,-0.675,1.648,3.584
F,0.059,0.176,1.563
F,-0.451,2.757,2.09
M,-0.952,1.639,4.202
F,-0.799,2.268,5.13
M,0.946,4.084,5.048
F,2.147,1.854,3.683
F,1.48,3.338,5.443
M,-1.807,0.901,5.488
F,-0.031,3.088,5.808
M,0.866,5.519,7.731
F,0.511,0.944,5.421
F,2.513,3.286,4.451
F,0.2,3.01,1.806
F,0.264,0.97,2.463
M,-0.564,4.169,9.362
F,-0.367,0.304,3.602
M,-0.85,3.711,7.026
F,2.145,0.695,4.167
M,0.015,5.197,6.008
F,-0.275,3.212,5.442
F,-2.251,-0.0,2.721
M,0.42,4.305,6.911
F,-0.576,0.398,1.911
M,0.33,4.153,4.118
F,0.683,-0.094,4.772
F,-0.105,0.731,4.073
M,1.336,7.398,10.727
M,-0.874,2.737,5.347
F,-0.188,2.121,5.685
F,0.575,1.22,1.838
F,0.499,0.911,4.311
F,-0.974,0.002,2.718
F,0.269,1.273,4.717
M,-0.816,3.944,6.505
M,1.524,5.541,6.221
M,1.139,3.659,5.398
F,1.636,1.728,0.736
F,-1.547,-1.054,3.796
F,-0.042,1.891,4.814
F,0.072,1.589,1.877
F,0.067,1.045,2.132
F,-0.466,0.792,5.554
M,-1.006,4.519,7.633
M,1.102,2.661,4.886
F,-0.353,-0.269,2.817
M,-0.953,4.235,6.505
M,-0.517,2.149,4.651
M,0.331,5.384,8.261
F,1.314,0.596,5.043
F,-0.484,1.191,0.262
M,-1.541,1.385,5.565
M,0.789,5.645,7.7
F,0.793,0.908,3.99
M,-0.21,4.665,8.548
M,1.613,4.734,5.706
F,-2.231,-0.464,1.764
M,0.607,2.632,8.12
F,0.418,1.429,4.132
M,-0.866,3.038,5.204
F,-0.13,1.854,4.148
F,0.659,0.589,4.793
F,0.7,0.086,2.836
M,-0.679,3.117,6.011
F,2.054,2.368,4.205
M,1.494,4.604,6.907
M,-1.263,1.094,7.464
M,0.246,2.749,5.388
M,-1.633,1.879,5.633
F,-1.189,2.402,4.679
F,0.761,2.405,3.275
M,-0.311,4.646,6.919
F,0.127,1.189,2.866
M,-1.454,1.173,5.864
F,1.283,0.69,3.779
F,0.367,1.028,2.74
M,-0.674,3.515,4.053
F,0.368,2.831,4.631
F,-1.898,-0.846,1.343
F,0.839,0.857,5.08
M,1.786,4.632,6.587
M,0.395,3.495,10.037
M,0.93,3.157,8.026
F,0.158,-0.299,0.944
M,-0.462,4.365,6.256
F,-1.29,0.48,2.298
M,-1.629,2.978,8.151
F,0.726,0.653,4.158
F,-0.075,0.827,4.656
F,-1.286,-0.863,2.402
M,-0.397,2.67,7.493
M,0.221,4.4,6.681
M,-0.665,1.968,7.059
M,-0.216,0.199,3.196
F,0.569,4.939,6.916
F,0.112,-0.429,1.559
F,-1.351,2.074,3.215
M,-0.806,1.16,1.706
F,-1.077,-1.048,1.75
M,0.413,6.988,7.288
F,-0.262,1.339,3.237
M,-0.169,5.174,9.921
F,-0.283,-0.542,2.678
M,-0.344,3.56,7.989
F,-0.969,2.163,6.078
F,-0.172,1.516,4.097
M,0.252,3.032,5.494
M,-2.137,1.636,6.075
M,0.465,2.411,6.687
F,0.557,2.071,2.135
F,2.406,2.878,6.45
M,0.297,1.494,3.74
F,1.801,2.578,5.874
F,0.062,-0.046,1.089
F,0.476,2.386,5.934
M,-1.28,2.005,7.538
F,0.68,3.168,4.506
M,1.474,4.365,6.287
M,0.731,4.61,6.813
F,0.369,3.511,5.677
F,0.089,0.098,0.958
M,-1.491,0.117,4.911
F,2.161,3.764,3.429
F,0.431,2.629,3.867
F,0.195,1.168,2.505
M,1.523,6.571,10.15
M,0.739,3.154,6.404
F,-0.473,-0.287,5.52
F,1.116,0.623,2.762
F,-1.943,0.53,2.129
M,-0.139,4.696,7.897
M,0.282,4.511,7.699
F,3.152,3.882,5.669
F,-0.508,-0.676,1.794
F,-0.886,-1.617,-0.099
F,0.627,1.001,2.505
F,-1.212,1.51,4.382
F,0.709,0.741,4.626
F,-1.607,1.712,2.736
F,0.834,-0.021,2.22
F,0.653,3.498,4.072
F,-0.193,0.436,0.956
M,-0.161,2.957,9.453
F,-0.175,-1.272,1.534
M,0.614,3.359,6.854
M,-0.261,3.149,4.301
F,0.017,0.211,2.237
F,1.444,2.585,2.35
M,0.053,4.901,5.188
F,0.223,1.067,4.542
F,-1.024,-1.68,-0.944
F,-0.701,2.464,2.937
M,0.497,3.192,4.994
F,0.131,1.285,3.107
M,0.3,3.334,6.946
F,-0.945,0.418,3.742
F,0.254,0.472,4.281
F,1.342,0.365,3.234
M,-0.797,2.676,7.106
F,0.457,0.374,3.28
F,-1.57,-0.911,3.51
M,0.813,4.179,7.362
F,-1.535,1.259,3.513
F,0.583,1.241,4.033
F,0.26,5.102,8.94
M,-0.81,4.484,6.459
F,2.348,3.974,6.058
F,0.264,0.25,2.124
M,1.526,6.543,7.323
F,0.567,0.121,0.805
M,-0.907,1.08,4.369
F,-0.872,1.251,6.196
F,-0.988,-1.176,0.667
F,0.406,-0.176,1.682
F,1.31,0.696,1.289
M,0.179,4.41,8.264
M,-0.353,4.962,8.785
F,0.868,1.231,2.045
F,1.531,2.953,5.699
M,-0.181,2.963,3.726
M,0.416,3.553,4.976
M,1.403,5.142,7.934
F,0.154,2.237,5.953
M,-0.124,2.118,6.424
M,-1.538,1.146,4.897
M,-0.887,3.833,4.644
F,-0.655,-0.179,1.878
F,1.825,1.054,3.899
M,0.665,3.324,4.577
F,-0.682,1.903,4.887
M,-0.038,1.522,4.234
F,0.484,-0.421,2.557
M,0.725,5.555,7.351
M,0.048,4.417,6.85
F,-0.596,-0.142,5.067
F,1.716,1.155,4.957
M,-0.574,3.117,4.345
M,0.424,5.443,5.036
M,1.364,4.832,8.228
M,-0.068,3.699,5.872
F,-0.115,2.331,6.267
M,-0.772,3.35,5.687
F,0.586,2.01,6.206
M,-0.533,3.902,8.114
M,0.273,3.29,4.047
F,-2.212,-2.827,1.877
F,-0.53,-1.284,2.751
F,0.328,1.648,3.669
M,-0.231,3.858,5.223
M,0.922,4.534,6.709
F,-0.469,3.094,4.442
M,0.915,3.102,5.487
M,1.219,5.605,10.509
F,1.194,0.721,1.444
M,-0.115,4.806,6.507
M,0.949,4.27,4.995
F,-0.486,1.376,2.723
M,0.625,3.583,6.767
F,0.125,-0.705,1.751
F,-1.365,-0.646,2.55
F,0.439,3.446,5.187
M,-0.939,2.591,6.355
F,-0.374,2.198,3.703
M,0.353,4.428,5.713
F,0.334,0.658,4.887
F,-1.052,0.388,2.398
M,0.312,4.526,8.219
M,0.223,3.976,6.152
M,-0.377,1.633,4.686
F,0.338,1.732,3.735
F,-0.134,1.009,4.93
M,-1.424,4.707,5.251
F,0.378,1.762,4.327
F,-0.675,1.374,3.631
M,1.756,4.592,7.378
M,-0.342,2.904,7.608
M,-0.544,5.394,7.853
M,1.562,3.315,8.195
M,-1.086,1.992,6.266
F,2.716,4.28,4.627
F,-1.17,-0.343,3.29
F,1.063,1.94,3.252
F,0.155,2.031,4.201
F,0.229,1.566,3.506
M,-0.524,1.215,5.656
F,-1.288,-0.412,3.742
F,-0.567,0.442,3.846
M,-0.05,5.221,6.498
F,1.757,1.712,7.18
F,-0.128,1.148,2.673
F,-0.895,1.963,2.228
M,1.095,3.608,7.478
F,-0.354,-1.683,1.081
M,-1.26,2.6,4.929
M,-0.395,2.858,7.256
F,0.244,0.659,3.16
F,-0.794,1.185,2.746
M,-0.522,3.202,7.716
F,0.427,-0.049,2.116
F,-0.319,1.285,3.295
F,-0.807,0.802,3.682
F,0.532,2.392,5.613
F,-0.353,0.582,1.796
F,-0.092,3.075,4.486
M,-0.699,0.746,4.288
F,-0.291,-0.321,6.152
F,-0.649,1.61,3.044
F,-0.698,0.326,4.217
F,0.313,1.64,3.893
F,-0.787,0.243,-1.437
M,0.308,4.134,5.992
M,-0.155,3.522,7.978
M,1.652,3.743,4.407
F,-0.801,0.875,3.851
F,-1.913,1.032,2.703
F,-0.885,-0.593,1.88
M,0.746,4.656,5.854
M,1.018,4.337,8.739
M,0.931,2.718,5.627
M,-0.113,4.434,7.259
F,0.193,0.321,4.562
M,-1.058,3.72,7.652
F,-0.242,-0.048,2.671
F,1.856,1.807,2.911
M,0.372,0.413,3.823
M,1.183,4.66,6.325
M,-0.104,4.107,8.83
M,1.041,5.238,7.348
F,-0.325,0.478,1.714
F,0.957,1.923,4.291
M,-0.438,2.539,7.019
M,1.0,5.581,6.807
M,1.594,3.192,5.446
M,0.543,5.545,6.573
M,-2.042,4.369,7.556
F,0.573,1.284,3.821
M,-1.862,-0.243,5.264
F,-0.292,1.768,3.369
F,-0.049,-0.845,3.044
M,-0.92,2.257,6.311
M,-1.027,2.385,7.243
M,1.682,6.662,6.764
M,1.419,3.421,7.147
F,0.695,2.052,7.191
M,1.025,4.365,7.817
M,0.667,3.773,3.797
M,1.25,5.28,8.167
M,-0.834,3.013,8.713
F,0.216,5.45,4.868
M,1.192,4.786,8.273
F,-0.44,0.449,3.381
F,0.652,1.779,0.842
F,-1.673,0.604,2.751
M,-1.053,4.021,6.358
F,2.117,0.336,4.068
F,-1.945,-0.232,3.589
M,-0.089,4.583,7.152
M,0.268,3.888,7.166
F,-0.162,1.657,6.105
M,-0.23,4.219,4.221
M,-1.248,3.017,3.5
F,-1.475,-0.523,0.668
F,-1.144,-1.492,-3.276
M,-0.151,3.536,8.356
F,-0.565,-0.545,2.845
M,0.953,4.714,5.472
F,2.331,3.372,5.31
M,1.174,4.029,7.904
M,1.224,2.31,3.889
M,-0.107,3.263,7.45
F,-0.433,0.752,5.015
M,-0.87,1.954,2.691
F,2.065,2.291,4.789
M,-0.973,2.315,3.92
F,-0.314,2.486,4.608
M,-0.549,2.799,7.006
F,0.655,1.508,2.448
F,0.491,-0.972,2.371
M,1.033,2.459,3.234
M,1.122,5.144,5.12
F,1.314,0.459,3.254
M,-0.491,4.941,10.421
F,0.645,2.235,4.552
F,1.717,2.083,2.497
M,-2.7,2.992,6.778
M,-1.907,1.121,4.447
F,0.52,3.04,5.692
F,-1.217,2.071,4.424
M,0.295,2.806,3.583
F,0.557,0.743,1.672
F,-0.62,-0.948,2.456
M,3.006,5.384,8.389
F,1.628,3.134,1.224
F,-1.739,0.469,3.111
M,1.442,5.076,6.502
F,0.822,3.219,5.351
M,-0.062,3.731,5.885
F,-0.873,1.738,7.447
M,-0.013,2.916,7.302
M,1.364,5.305,8.084
F,0.828,1.63,4.474
M,-0.663,2.791,6.136
F,-0.064,0.338,2.472
F,0.118,2.032,3.201
M,-1.941,2.99,7.416
F,-1.842,-1.94,3.095
F,-1.437,-0.325,2.655
M,0.174,3.506,5.906
F,2.389,4.731,9.036
F,0.19,1.995,4.246
F,-0.587,-0.043,0.745
M,0.937,3.947,4.772
M,1.427,4.891,5.376
F,0.133,3.044,5.819
F,-1.266,-3.47,0.059
M,-1.18,4.833,5.725
M,-2.205,-0.323,1.983
M,-1.267,4.57,8.432
F,-1.187,0.047,-0.616
F,0.343,3.389,8.326
M,0.746,3.601,4.511
M,-1.564,2.965,5.423
F,0.689,1.548,4.608
F,0.644,2.074,5.786
M,-0.136,4.632,5.762
M,-0.327,3.507,4.013
M,0.832,3.982,6.461
M,-0.031,2.873,6.666
M,1.123,4.547,7.107
F,1.146,3.501,5.864
M,-0.699,2.918,6.862
F,-1.427,-2.194,3.829
F,0.826,2.765,1.984
M,1.76,3.784,7.085
F,1.295,2.304,4.188
F,-0.528,-0.205,2.308
M,-0.237,4.191,4.12
M,0.569,3.256,4.951
M,0.611,3.212,6.404
F,-0.132,0.604,2.149
M,-0.073,2.403,5.068
F,0.044,1.138,2.614
F,0.179,0.991,3.788
M,0.629,3.771,6.5
M,-1.185,4.113,7.456
M,-1.802,1.245,4.854
M,1.147,5.159,5.393
M,-0.222,3.687,6.653
F,-0.832,0.142,1.505
M,-1.177,4.65,7.89
M,-0.64,2.008,6.062
M,1.158,2.329,6.086
M,1.069,5.787,6.893
M,-1.193,2.471,5.025
F,-0.378,0.107,2.288
M,-0.595,3.591,9.316
M,1.598,2.623,6.536
M,-0.415,1.921,3.037
M,0.995,6.63,11.226
F,1.146,-0.515,2.216
M,0.28,3.86,5.35
F,0.036,1.286,4.598
M,0.117,4.528,6.85
M,1.198,3.854,5.831
F,-2.151,0.961,4.354
M,-0.282,2.486,5.455
F,0.119,3.285,5.635
F,1.104,3.16,6.392
M,-0.158,2.468,6.47
M,0.782,4.033,5.45
M,-0.199,3.933,8.345
M,-0.722,5.68,8.919
F,-1.647,-0.933,3.945
M,0.524,3.703,6.739
M,0.368,3.468,8.605
F,-0.278,0.068,3.543
M,0.191,3.629,6.552
F,1.701,2.906,4.908
M,-0.283,2.122,3.318
F,-0.681,-0.031,3.413
F,-2.034,0.903,3.018
M,0.076,4.313,8.355
F,0.193,2.749,4.29
M,1.121,4.267,7.295
M,-0.633,1.417,6.992
F,-1.492,0.482,4.01
M,0.151,3.243,6.91
F,-1.402,1.304,2.699
M,-1.492,1.676,3.616
F,0.264,1.173,0.14
M,1.233,5.512,7.084
F,0.802,3.776,4.362
F,0.707,1.088,3.128
F,-0.444,-1.641,1.787
M,0.319,5.33,8.715
F,0.391,-0.299,3.637
M,1.631,3.563,8.172
F,1.172,1.802,2.45
F,-1.226,0.309,4.127
M,1.402,5.183,5.71
F,0.608,1.634,4.481
M,0.806,3.906,7.044
F,-2.962,0.358,3.084
M,-0.399,4.761,9.28
M,0.341,4.548,6.779
F,1.762,2.487,4.537
F,1.513,1.868,3.851
F,0.604,-0.157,4.136
F,0.593,0.799,3.841
F,-1.174,-1.222,0.539
F,1.34,1.626,0.515
M,-0.573,5.173,6.338
F,0.136,1.378,2.343
F,0.286,2.12,2.507
F,-0.015,3.567,3.535
F,-1.018,1.051,3.735
F,-2.324,-0.433,4.051
M,-0.168,6.519,8.226
F,0.605,1.277,3.922
F,0.216,0.623,2.052
F,0.067,0.747,3.892
F,-0.087,0.984,2.479
F,1.235,0.852,4.946
M,0.039,4.04,6.137
F,1.01,1.743,4.632
F,0.258,1.38,5.297
M,0.689,5.115,9.498
F,-2.956,-1.875,1.331
F,0.325,1.357,2.17
M,-1.107,5.507,7.899
F,0.058,1.561,2.568
M,0.9,5.658,10.698
F,-0.558,0.996,3.921
F,0.834,3.398,3.458
M,-0.365,2.24,3.627
F,-1.938,0.81,3.009
M,-0.924,2.202,3.522
F,0.185,3.056,4.849
F,1.093,3.692,6.559
M,-1.405,3.024,5.378
M,1.531,4.713,8.854
M,-0.805,1.416,6.382
F,-0.779,0.894,5.204
F,0.472,2.348,3.402
F,0.432,3.541,5.561
M,-1.687,0.452,5.397
F,-2.789,-1.72,0.067
M,-1.548,3.749,7.464
M,-0.464,4.821,8.542
M,0.443,1.361,4.539
M,-1.002,0.846,2.802
M,-0.519,2.573,6.305
M,0.172,3.556,6.178
F,1.329,2.347,4.098
M,0.602,4.828,8.731
M,-2.41,-0.48,3.366
F,0.515,-0.251,3.776
F,-1.123,0.018,3.886
M,0.532,3.772,6.508
M,-0.914,1.669,4.891
M,-0.389,-0.032,2.983
M,0.259,5.222,6.769
M,-0.829,4.442,6.764
M,1.381,5.009,5.449
M,0.207,3.247,8.226
F,-0.815,0.099,2.153
M,-1.892,2.765,7.518
F,0.311,1.15,1.789
F,-0.604,1.911,7.055
F,-0.584,0.284,1.314
M,-1.305,4.33,7.897
M,-0.956,2.237,2.755
F,1.672,2.699,4.615
F,0.206,1.918,4.869
F,0.245,2.943,5.412
M,0.634,3.548,4.802
F,1.895,3.835,4.053
F,-1.178,1.078,2.449
M,-1.352,3.063,7.19
F,0.586,2.527,2.466
M,-1.235,1.546,5.313
F,0.562,4.909,7.45
M,1.338,5.108,6.642
M,1.369,5.426,8.586
F,-1.734,-3.367,1.656
M,-0.556,3.709,6.34
F,-0.473,1.47,4.775
F,-0.9,1.209,4.037
M,1.266,4.782,7.878
F,0.435,0.813,3.857
M,-0.024,1.941,4.596
F,0.944,0.96,4.044
M,-0.672,5.121,10.805
F,1.045,1.327,4.459
F,1.353,3.413,4.109
M,-1.063,4.085,7.465
F,2.457,1.44,4.381
F,-0.119,1.745,2.818
F,-1.321,-0.725,1.722
M,0.21,3.337,6.867
M,-1.41,2.87,7.512
F,0.746,1.775,4.753
M,-1.598,1.167,6.655
F,-0.116,2.649,4.416
F,-0.356,1.004,5.274
F,-0.104,3.324,5.761
F,-2.171,0.625,1.041
F,0.373,0.891,4.396
M,0.896,2.629,2.858
F,-1.526,0.842,4.74
F,0.018,1.215,4.077
F,0.521,0.088,2.371
M,1.04,4.908,6.67
F,-0.031,0.642,4.023
F,-0.965,0.694,5.71
F,-0.294,2.34,4.159
F,0.09,-0.562,1.673
M,0.47,3.836,7.515
F,-0.318,1.169,3.731
M,0.373,4.453,8.973
M,-0.549,1.656,4.673
M,0.677,1.829,6.925
F,-0.585,0.308,7.015
F,1.964,1.256,3.67
M,2.433,6.341,8.004
M,1.32,4.113,8.218
M,-0.591,2.83,4.594
F,0.555,1.243,3.711
F,0.731,-0.814,1.437
M,-1.012,2.758,4.894
F,-0.769,2.433,4.772
M,0.148,2.653,5.515
F,0.531,0.936,2.284
M,-0.562,4.904,8.743
M,-0.36,4.29,7.387
F,0.503,0.794,4.805
M,-0.555,0.581,4.342
M,2.324,5.63,6.941
M,0.73,5.642,8.776
M,-0.024,2.167,4.888
M,-0.311,2.596,5.95
M,-0.051,2.096,6.857
F,0.033,3.604,5.028
F,-0.384,-1.316,0.327
F,-0.394,0.243,4.028
M,-1.077,2.744,6.854
F,-0.828,2.301,3.488
M,-2.271,1.821,4.317
F,1.19,2.898,2.951
F,-0.738,1.014,5.419
F,-0.786,0.461,1.567
M,0.267,2.59,6.64
F,-0.475,1.176,2.503
M,-0.395,3.962,4.161
F,2.014,2.913,5.599
M,0.144,3.052,4.86
F,-1.254,-1.017,4.203
F,-1.797,-0.158,2.342
F,0.316,2.393,3.181
F,-0.229,1.323,3.591
M,-0.663,2.349,5.999
M,0.391,2.79,6.396
F,1.567,1.009,4.223
F,-0.82,0.648,4.855
F,-0.262,1.232,2.423
F,0.036,0.441,3.96
F,-2.88,-0.402,2.361
M,1.023,5.656,8.296
F,-1.63,1.879,3.72
M,-2.375,2.982,5.915
F,-0.094,0.685,3.566
F,-0.488,1.309,4.616
M,0.49,2.268,4.79
M,-0.539,4.323,8.684
F,1.37,2.557,3.322
F,0.644,2.259,4.992
F,0.767,1.857,6.096
M,-1.369,2.82,4.502
F,0.621,0.924,4.273
M,1.245,1.59,8.01
F,-0.804,0.343,3.413
F,-0.596,1.517,2.227
F,0.001,0.179,1.908
F,-0.889,0.811,2.713
F,1.668,1.757,2.704
M,2.05,5.038,5.872
F,-0.103,1.893,6.162
M,-1.06,4.481,8.965
M,-0.48,2.902,3.13
F,0.127,3.597,5.827
F,2.169,1.126,3.604
M,-1.562,1.215,6.358
M,0.402,3.581,3.146
M,0.125,3.763,6.854
M,-0.345,2.575,2.843
M,0.82,3.746,8.042
M,-0.108,3.448,5.118
F,0.841,0.897,3.734
M,2.023,3.725,6.516
M,0.116,2.385,7.084
F,0.585,2.044,2.221
F,0.439,1.492,2.916
F,0.123,0.55,3.65
M,-0.291,4.129,8.197
M,-0.659,1.821,7.636
F,2.048,0.43,2.661
M,-1.861,-0.22,5.161
M,2.271,4.595,8.649
M,-0.107,2.77,5.373
M,-1.397,2.013,2.806
F,0.813,4.577,4.988
M,-0.403,3.366,5.539
F,-0.148,3.827,5.931
F,-1.004,1.073,3.176
F,0.394,2.084,1.51
M,0.132,1.443,3.685
F,0.557,2.139,2.701
M,-0.168,2.12,4.981
F,0.574,2.245,2.648
F,-0.685,1.181,4.872
F,0.99,0.483,5.533
M,-1.889,1.278,6.594
M,1.598,7.585,10.487
M,0.77,2.546,5.985
F,-0.161,0.239,-0.005
F,0.924,1.875,3.383
M,-0.052,2.139,3.442
F,-0.887,-0.938,-0.504
F,1.042,2.762,3.727
F,0.61,2.678,3.266
M,-1.868,2.507,5.34
M,-0.384,2.99,5.899
M,-0.116,3.598,8.492
M,0.046,3.385,3.686
M,-1.848,3.058,7.099
M,0.536,2.993,6.281
M,-0.696,5.07,6.303
F,0.796,2.061,3.451
F,-0.129,1.514,6.005
M,-0.324,4.725,7.166
F,-1.633,-0.731,1.096
M,-0.525,2.772,5.639
F,0.724,-0.399,2.28
F,0.701,1.903,3.675
M,0.651,4.625,5.618
M,0.213,4.101,7.412
F,0.302,1.809,3.955
M,1.763,4.832,6.396
F,1.06,0.462,5.323
